origin,destination,dist_km,total_veh,n_av,n_normal,av_fraction,E_eff,ground_max,domain_max,ground_mean
2108,2109,1.194102859,366.666666666667,0,366.666666666667,0,7.07304526748972e-10,4.84366874138966e-09,4.84366874138966e-09,3.13877814336718e-09
2108,2110,1.060104309,196.451579563854,0,196.451579563854,0,3.78957522306817e-10,2.59512647762745e-09,2.59512647762745e-09,1.68168524772268e-09
2108,2111,0.891136501,293.82995951417,0,293.82995951417,0,5.66801619433198e-10,3.63147068390405e-09,3.63147068390405e-09,2.39493507315673e-09
2108,2114,0.714440978,1029.24903720663,0,1029.24903720663,0,1.98543409954983e-09,1.1065843395796e-08,1.1065843395796e-08,7.24867197527753e-09
2108,2116,1.060113653,132364.366909605,0,132364.366909605,0,2.55332497896615e-07,1.74853403583787e-06,1.74853403583787e-06,1.13307922313591e-06
2108,2203,0.682207211,220368.287648366,0,220368.287648366,0,4.25093147469842e-07,2.32625732398918e-06,2.32625732398918e-06,1.51901853291135e-06
2109,2108,1.194102859,562.599486508178,0,562.599486508178,0,1.08526135514695e-09,7.43194240014965e-09,7.43194240014965e-09,4.81602265014945e-09
2109,2110,0.603499322,294.677369345782,0,294.677369345782,0,5.68436283460228e-10,2.87272387867276e-09,2.87272387867276e-09,1.84140727237449e-09
2109,2113,0.262455142,132599.61757439,0,132599.61757439,0,2.55786299333314e-07,7.6082265579617e-07,7.6082265579617e-07,3.75021823079669e-07
2109,2203,0.512428871,220549.189509152,0,220549.189509152,0,4.25442109392654e-07,1.91406365794214e-06,1.91406365794214e-06,1.17964139465104e-06
2110,2108,1.060104309,449.903834334265,0,449.903834334265,0,8.67870050799122e-10,5.94323219726245e-09,5.94323219726245e-09,3.85131360497857e-09
2110,2109,0.603499322,366.666666666667,0,366.666666666667,0,7.07304526748972e-10,3.57452657862801e-09,3.57452657862801e-09,2.29126066937647e-09
2110,2111,1.025019777,293.82995951417,0,293.82995951417,0,5.66801619433198e-10,3.88149542777066e-09,3.88149542777066e-09,2.51527378578965e-09
2110,2113,0.855902515,132497.522827371,0,132497.522827371,0,2.55589357305885e-07,1.59396772635379e-06,1.59396772635379e-06,1.05273832728123e-06
2110,2127,2.811209001,209.19219763749,0,209.19219763749,0,4.03534331862442e-10,2.76343011447087e-09,2.76343011447087e-09,1.79074881192955e-09
2110,2128,3.397016429,330101.530793913,0,330101.530793913,0,6.36769928228999e-07,4.36064308961278e-06,4.36064308961278e-06,2.82576946349449e-06
2111,2108,0.891136501,579.530456426543,0,579.530456426543,0,1.11792140514379e-09,7.16246861423615e-09,7.16246861423615e-09,4.72360891433033e-09
2111,2110,1.025019777,235.741895476625,0,235.741895476625,0,4.54749026768181e-10,3.11415177315293e-09,3.11415177315293e-09,2.01802229726722e-09
2111,2116,1.26381351,264160.538817253,0,264160.538817253,0,5.09568940619701e-07,3.48956221248485e-06,3.48956221248485e-06,2.26129452430824e-06
2111,2118,1.636543894,429.000586220785,0,429.000586220785,0,8.27547427123428e-10,5.66710017140579e-09,5.66710017140579e-09,3.67237544596774e-09
2111,2127,2.385681299,251.030637164988,0,251.030637164988,0,4.84241198234931e-10,3.31611613736505e-09,3.31611613736505e-09,2.14889857431546e-09
2113,2109,0.262455142,165183.333333333,0,165183.333333333,0,3.18640689300411e-07,9.47779674322401e-07,9.47779674322401e-07,4.67175968846893e-07
2113,2111,1.719992713,165074.078272605,0,165074.078272605,0,3.18429934939439e-07,2.18062950802562e-06,2.18062950802562e-06,1.41308429705055e-06
2113,2114,0.928678339,166070.870055553,0,166070.870055553,0,3.20352758594817e-07,2.10338764030775e-06,2.10338764030775e-06,1.38313054154021e-06
2113,2129,1.708088604,165373.79991602,0,165373.79991602,0,3.19008101689853e-07,2.18458883263106e-06,2.18458883263106e-06,1.41565000544176e-06
2114,2108,0.714440978,842.662913212695,0,842.662913212695,0,1.62550716283313e-09,9.05978582050876e-09,9.05978582050876e-09,5.93460554521201e-09
2114,2113,0.928678339,132701.712321409,0,132701.712321409,0,2.55983241360743e-07,1.68074715000382e-06,1.68074715000382e-06,1.1052136426155e-06
2114,2203,0.667789107,220732.522842485,0,220732.522842485,0,4.25795761656028e-07,2.28642988047895e-06,2.28642988047895e-06,1.48747163453879e-06
2115,2116,1.972403126,132302.89747638,0,132302.89747638,0,2.55213922601042e-07,1.74772202427715e-06,1.74772202427715e-06,1.13255302609912e-06
2115,2118,1.999934567,353.407751104621,0,353.407751104621,0,6.8172791493947e-10,4.66851839179164e-09,4.66851839179164e-09,3.0252777950829e-09
2115,2120,0.952875416,132433.906717801,0,132433.906717801,0,2.55466641045141e-07,1.69640162596146e-06,1.69640162596146e-06,1.11325233813774e-06
2115,2130,3.902644454,454.170766687449,0,454.170766687449,0,8.76101015986592e-10,5.99959839779174e-09,5.99959839779174e-09,3.88783984318603e-09
2115,2215,0.907591305,941.247460386361,0,941.247460386361,0,1.81567797142431e-09,1.17800800229739e-08,1.17800800229739e-08,7.75898669301175e-09
2116,2108,1.060113653,165202.83901665,0,165202.83901665,0,3.1867831600434e-07,2.18233043818302e-06,2.18233043818302e-06,1.41418652816636e-06
2116,2111,1.26381351,164890.744939271,0,164890.744939271,0,3.18076282676063e-07,2.17820767365491e-06,2.17820767365491e-06,1.41151490797886e-06
2116,2115,1.972403126,165057.362936679,0,165057.362936679,0,3.18397690850075e-07,2.18040869834346e-06,2.18040869834346e-06,1.4129412086931e-06
2116,2118,1.370015114,165000.278848558,0,165000.278848558,0,3.18287574939348e-07,2.17965461721638e-06,2.17965461721638e-06,1.41245255154366e-06
2118,2111,1.636543894,251.854251012146,0,251.854251012146,0,4.85829959514171e-10,3.32699608094629e-09,3.32699608094629e-09,2.15594895924828e-09
2118,2115,1.999934567,356.585919520766,0,356.585919520766,0,6.8785864105086e-10,4.71050201455206e-09,4.71050201455206e-09,3.05248388297527e-09
2118,2116,1.370015114,132371.086421451,0,132371.086421451,0,2.55345459917923e-07,1.74862280062737e-06,1.74862280062737e-06,1.13313674420023e-06
2118,2119,1.964409789,343.599663545107,0,343.599663545107,0,6.62807992949666e-10,4.53895349963302e-09,4.53895349963302e-09,2.94131758364645e-09
2118,2120,2.237183405,132585.962704214,0,132585.962704214,0,2.55759958920166e-07,1.75146131753852e-06,1.75146131753852e-06,1.13497615050895e-06
2118,2125,2.750825735,323.831752218138,0,323.831752218138,0,6.24675447951655e-10,4.27781927915028e-09,4.27781927915028e-09,2.7720982527016e-09
2118,2127,2.627991548,179.307597974991,0,179.307597974991,0,3.45886570167807e-10,2.36865438383217e-09,2.36865438383217e-09,1.53492755308246e-09
2119,2118,1.964409789,380.329084662598,0,380.329084662598,0,7.3365949973495e-10,5.02414936042246e-09,5.02414936042246e-09,3.25573259516129e-09
2119,2120,1.305711996,264145.755008116,0,264145.755008116,0,5.0954042246936e-07,3.4893669182825e-06,3.4893669182825e-06,2.26116797040735e-06
