"YEAR","Hybrid","Not Advanced","Zero-Emission","TOTAL","zev_share","hyb_share"
2020,101271125.482068,2518575753.2862,14615548.2966695,2634462427.06493,0.00554782947234996,0.0384409071246064
2021,118400646.48376,2650319427.729,21665692.6500018,2790385766.86276,0.00776440766982575,0.0424316407752028
2022,152013151.598919,2713925922.24018,44622698.2335808,2910561772.07268,0.0153313008717915,0.0522281138498795
2023,190588262.116813,2735089912.70792,107553248.637796,3033231423.46253,0.0354583062162203,0.0628334061959736
2024,244079780.525937,2727960726.18618,145026752.782811,3117067259.49492,0.0465266677647214,0.0783043034385747
2025,299886821.168511,2666871984.66877,153531832.715841,3120290638.55313,0.0492043371918181,0.0961086180444933
