origin,destination,dist_km,total_veh,n_av,n_normal,av_fraction,scenario,E_eff,ground_max,domain_max,ground_mean
2108,2109,1.194102859,366.666666666667,202.717778127675,163.948888538992,0.552866667620932,No Policy,4.72677468730829e-10,3.2369269437226e-09,3.2369269437226e-09,2.09758265585228e-09
2108,2110,1.060104309,196.451579563854,108.611530142336,87.8400494215177,0.552866667620932,No Policy,2.53249732790224e-10,1.73427112098301e-09,1.73427112098301e-09,1.12383661638525e-09
2108,2111,0.891136501,293.82995951417,162.448790563793,131.381168950377,0.552866667620932,No Policy,3.7878218591029e-10,2.42683922656016e-09,2.42683922656016e-09,1.60048720931793e-09
2108,2114,0.714440978,1029.24903720663,569.037485352482,460.211551854148,0.552866667620932,No Policy,1.32682589891038e-09,7.39508181820671e-09,7.39508181820671e-09,4.84414250348818e-09
2108,2116,1.060113653,132364.366909605,73179.8464450677,59184.5204645373,0.552866667620932,No Policy,1.70633601548157e-07,1.16851032446859e-06,1.16851032446859e-06,7.57214182588513e-07
2108,2203,0.682207211,220368.287648366,121834.280841483,98534.0068068829,0.552866667620932,No Policy,2.84081248347755e-07,1.55459124314357e-06,1.55459124314357e-06,1.01512970430427e-06
2109,2108,1.194102859,562.599486508178,311.042503311024,251.556983197154,0.552866667620932,No Policy,7.25258457796226e-10,4.96661846291678e-09,4.96661846291678e-09,3.21845161388442e-09
2109,2110,0.603499322,294.677369345782,162.917295213505,131.760074132277,0.552866667620932,No Policy,3.79874599185338e-10,1.91978391199463e-09,1.91978391199463e-09,1.23057565092811e-09
2109,2113,0.262455142,132599.61757439,73309.908696163,59289.708878227,0.552866667620932,No Policy,1.70936867972014e-07,5.08442563979849e-07,5.08442563979849e-07,2.50619583712959e-07
2109,2203,0.512428871,220549.189509152,121934.295450422,98614.8940587297,0.552866667620932,No Policy,2.84314452621332e-07,1.27913046023366e-06,1.27913046023366e-06,7.88330750541985e-07
2110,2108,1.060104309,449.903834334265,248.736833638265,201.167000696,0.552866667620932,No Policy,5.79980197051131e-10,3.9717432093837e-09,3.9717432093837e-09,2.57375585372998e-09
2110,2109,0.603499322,366.666666666667,202.717778127675,163.948888538992,0.552866667620932,No Policy,4.72677468730829e-10,2.3887846199189e-09,2.3887846199189e-09,1.53120367881902e-09
2110,2111,1.025019777,293.82995951417,162.448790563793,131.381168950377,0.552866667620932,No Policy,3.7878218591029e-10,2.59392576224819e-09,2.59392576224819e-09,1.68090716412736e-09
2110,2113,0.855902515,132497.522827371,73253.463913597,59244.058913774,0.552866667620932,No Policy,1.70805255554037e-07,1.06521675125507e-06,1.06521675125507e-06,7.03523968752744e-07
