origin,destination,dist_km,total_veh,n_av,n_normal,av_fraction,scenario,E_eff,ground_max,domain_max,ground_mean
2108,2109,1.194102859,366.666666666667,0.0701084860534191,366.596558180614,0.00019120496196387,No Policy,7.07223382667892e-10,4.84311306129119e-09,4.84311306129119e-09,3.13841805339387e-09
2108,2110,1.060104309,196.451579563854,0.0375625167982489,196.414017047056,0.00019120496196387,No Policy,3.78914047171634e-10,2.59482875699178e-09,2.59482875699178e-09,1.68149231978438e-09
2108,2111,0.891136501,293.82995951417,0.0561817462327523,293.773777767937,0.00019120496196387,No Policy,5.66736594263948e-10,3.63105407077566e-09,3.63105407077566e-09,2.39466031907499e-09
2108,2114,0.714440978,1029.24903720663,0.196797523010443,1029.05223968362,0.00019120496196387,No Policy,1.98520632463893e-09,1.10645738892967e-08,1.10645738892967e-08,7.24784038604794e-09
2108,2116,1.060113653,132364.366909605,25.3087237403228,132339.058185865,0.00019120496196387,No Policy,2.55303205392286e-07,1.74833343880758e-06,1.74833343880758e-06,1.13294923291406e-06
2108,2203,0.682207211,220368.287648366,42.135510057849,220326.152138308,0.00019120496196387,No Policy,4.25044379518386e-07,2.32599044882329e-06,2.32599044882329e-06,1.51884426658287e-06
2109,2108,1.194102859,562.599486508178,0.107571813418689,562.491914694759,0.00019120496196387,No Policy,1.08513685073327e-09,7.43108978559128e-09,7.43108978559128e-09,4.81547014169286e-09
2109,2110,0.603499322,294.677369345782,0.0563437751973735,294.621025570585,0.00019120496196387,No Policy,5.68371070757453e-10,2.87239431123679e-09,2.87239431123679e-09,1.84119602065e-09
2109,2113,0.262455142,132599.61757439,25.3537048347349,132574.263869555,0.00019120496196387,No Policy,2.55756954767533e-07,7.60735371955992e-07,7.60735371955992e-07,3.74978799459618e-07
2109,2203,0.512428871,220549.189509152,42.1700993912598,220507.019409761,0.00019120496196387,No Policy,4.25393301407248e-07,1.91384407086079e-06,1.91384407086079e-06,1.17950606267825e-06
2110,2108,1.060104309,449.903834334265,0.0860238455312824,449.817810488734,0.00019120496196387,No Policy,8.67770486163091e-10,5.94255037197072e-09,5.94255037197072e-09,3.85087177081576e-09
2110,2109,0.603499322,366.666666666667,0.0701084860534191,366.596558180614,0.00019120496196387,No Policy,7.07223382667892e-10,3.5741164982969e-09,3.5741164982969e-09,2.29099780913098e-09
2110,2111,1.025019777,293.82995951417,0.0561817462327523,293.773777767937,0.00019120496196387,No Policy,5.66736594263948e-10,3.88105013105929e-09,3.88105013105929e-09,2.51498522609253e-09
2110,2113,0.855902515,132497.522827371,25.3341838125145,132472.188643558,0.00019120496196387,No Policy,2.5556003533388e-07,1.5937848616307e-06,1.5937848616307e-06,1.05261755400613e-06
2110,2127,2.811209001,209.19219763749,0.0399985861924147,209.152199051298,0.00019120496196387,No Policy,4.03488037202497e-10,2.76311308554091e-09,2.76311308554091e-09,1.79054337189446e-09
2110,2128,3.397016429,330101.530793913,63.1170506396654,330038.413743273,0.00019120496196387,No Policy,6.36696876087055e-07,4.36014282365513e-06,4.36014282365513e-06,2.82544528280882e-06
