origin,destination,dist_km,total_veh,n_av,n_normal,av_fraction,scenario,E_eff,ground_max,domain_max,ground_mean
2108,2109,1.194102859,366.666666666667,122.807980798198,243.858685868469,0.334930856722359,No Policy,5.6516566008439e-10,3.87029226864989e-09,3.87029226864989e-09,2.50801395179555e-09
2108,2110,1.060104309,196.451579563854,65.7976958477823,130.653883716072,0.334930856722359,No Policy,3.02802781742254e-10,2.07361371695466e-09,2.07361371695466e-09,1.34373627926841e-09
2108,2111,0.891136501,293.82995951417,98.412720070777,195.417239443393,0.334930856722359,No Policy,4.52898008240169e-10,2.90169573151078e-09,2.90169573151078e-09,1.91365247964864e-09
2108,2114,0.714440978,1029.24903720663,344.72726181228,684.52177539435,0.334930856722359,No Policy,1.58644421319302e-09,8.84206795045036e-09,8.84206795045036e-09,5.7919896264101e-09
2108,2116,1.060113653,132364.366909605,44332.9108085467,88031.4561010584,0.334930856722359,No Policy,2.04021258534871e-07,1.39715123425904e-06,1.39715123425904e-06,9.05377306172384e-07
2108,2203,0.682207211,220368.287648366,73808.1393765065,146560.14827186,0.334930856722359,No Policy,3.39667060228515e-07,1.85877610890096e-06,1.85877610890096e-06,1.21375882574827e-06
2109,2108,1.194102859,562.599486508178,188.431928007743,374.167558500435,0.334930856722359,No Policy,8.67168845878727e-10,5.93843029903363e-09,5.93843029903363e-09,3.84820189482414e-09
2109,2110,0.603499322,294.677369345782,98.6965437716738,195.980825574108,0.334930856722359,No Policy,4.54204172613383e-10,2.29542555678637e-09,2.29542555678637e-09,1.47136080318779e-09
2109,2113,0.262455142,132599.61757439,44411.7035152476,88187.9140591424,0.334930856722359,No Policy,2.04383864709185e-07,6.07928865444414e-07,6.07928865444414e-07,2.99657994783476e-07
2109,2203,0.512428871,220549.189509152,73868.7289917222,146680.46051743,0.334930856722359,No Policy,3.39945895281865e-07,1.52941626947672e-06,1.52941626947672e-06,9.42582412889663e-07
2110,2108,1.060104309,449.903834334265,150.68667667625,299.217157658015,0.334930856722359,No Policy,6.93464175016426e-10,4.74888908634504e-09,4.74888908634504e-09,3.0773593458454e-09
2110,2109,0.603499322,366.666666666667,122.807980798198,243.858685868469,0.334930856722359,No Policy,5.6516566008439e-10,2.85619502901397e-09,2.85619502901397e-09,1.83081232999536e-09
2110,2111,1.025019777,293.82995951417,98.412720070777,195.417239443393,0.334930856722359,No Policy,4.52898008240169e-10,3.10147587437837e-09,3.10147587437837e-09,2.00980810341016e-09
2110,2113,0.855902515,132497.522827371,44377.5088341617,88120.0139932093,0.334930856722359,No Policy,2.04226499858939e-07,1.27364634064851e-06,1.27364634064851e-06,8.41181597364769e-07
2110,2127,2.811209001,209.19219763749,70.0649219743576,139.127275663132,0.334930856722359,No Policy,3.22440672169899e-10,2.20809530503161e-09,2.20809530503161e-09,1.43088259167708e-09
2110,2128,3.397016429,330101.530793913,110561.188514167,219540.342279746,0.334930856722359,No Policy,5.08805589670935e-07,3.48433473409412e-06,3.48433473409412e-06,2.25790703110964e-06
2111,2108,0.891136501,579.530456426543,194.102632267642,385.427824158901,0.334930856722359,No Policy,8.9326558075995e-10,5.72310956470829e-09,5.72310956470829e-09,3.77435948603151e-09
2111,2110,1.025019777,235.741895476625,78.9572350173388,156.784660459286,0.334930856722359,No Policy,3.63363338090706e-10,2.4883364603456e-09,2.4883364603456e-09,1.6124835351221e-09
2111,2116,1.26381351,264160.538817253,88475.5155783025,175685.023238951,0.334930856722359,No Policy,4.07166723515184e-07,2.78830497563674e-06,2.78830497563674e-06,1.80686813691136e-06
2111,2118,1.636543894,429.000586220785,143.685533877322,285.315052343463,0.334930856722359,No Policy,6.61244725876528e-10,4.52824814208156e-09,4.52824814208156e-09,2.93438033337326e-09
2111,2127,2.385681299,251.030637164988,84.0779063692291,166.952730795759,0.334930856722359,No Policy,3.86928806603878e-10,2.64971436603794e-09,2.64971436603794e-09,1.7170591100125e-09
2113,2109,0.262455142,165183.333333333,55324.9953495882,109858.337983745,0.334930856722359,No Policy,2.54607129868017e-07,7.57315279339498e-07,7.57315279339498e-07,3.732929803553e-07
2113,2111,1.719992713,165074.078272605,55288.4024584973,109785.675814108,0.334930856722359,No Policy,2.54438728390252e-07,1.74241344243538e-06,1.74241344243538e-06,1.12911297651132e-06
2113,2114,0.928678339,166070.870055553,55622.2587843339,110448.611271219,0.334930856722359,No Policy,2.55975144261097e-07,1.68069398567525e-06,1.68069398567525e-06,1.10517868319805e-06
2113,2129,1.708088604,165373.79991602,55388.7884853046,109985.011430715,0.334930856722359,No Policy,2.5490070760964e-07,1.74557710705153e-06,1.74557710705153e-06,1.13116308395679e-06
2114,2108,0.714440978,842.662913212695,282.233811450487,560.429101762208,0.334930856722359,No Policy,1.29884765883951e-09,7.23914472455831e-09,7.23914472455831e-09,4.74199603347173e-09
2114,2113,0.928678339,132701.712321409,44445.8981963335,88255.8141250755,0.334930856722359,No Policy,2.04541229559431e-07,1.34298670027316e-06,1.34298670027316e-06,8.83111551306029e-07
2114,2203,0.667789107,220732.522842485,73930.1329821212,146802.389860364,0.334930856722359,No Policy,3.40228478111906e-07,1.8269523292563e-06,1.8269523292563e-06,1.18855154519502e-06
2115,2116,1.972403126,132302.89747638,44312.3227986144,87990.5746777656,0.334930856722359,No Policy,2.03926511954497e-07,1.39650240333495e-06,1.39650240333495e-06,9.04956852910192e-07
2115,2118,1.999934567,353.407751104621,118.367160849793,235.040590254828,0.334930856722359,No Policy,5.44728886178135e-10,3.73033987303953e-09,3.73033987303953e-09,2.41732246484475e-09
